problem name,setup time,solve time,run time,status,primal residual,dual residual,duality gap,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter
QBRANDY,0.000503593,0.395008338,0.39551193100000004,solved inaccurate,0.004712847468575167,0.0014895998046463234,-0.4912070310092531,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QCAPRI,0.000619044,0.523825732,0.5244447760000001,maximum iterations reached,7.458132862900694,57.84684267451507,-4246787.8040021155,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QE226,0.000654774,0.557410767,0.558065541,maximum iterations reached,0.0027719039166477534,0.001910878137940411,-0.028257189708941876,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QETAMACR,0.003272521,2.422363764,2.425636285,maximum iterations reached,0.005870801075666555,0.21845262095429416,-648.8651891282442,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QFFFFF80,0.002185894,1.673588902,1.675774796,maximum iterations reached,1.7154451316482497,0.005188202148881379,23278.19676169753,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QFORPLAN,0.001436329,0.617990616,0.6194269450000001,maximum iterations reached,0.47793911149562046,4.3908426921526456,-28746478.899656646,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QGFRDXPN,0.000756054,0.886269753,0.887025807,maximum iterations reached,1.8639755066721,1.158678931730929,3108285.6167527013,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QGROW15,0.001024256,0.975229662,0.976253918,maximum iterations reached,178.5769353805182,0.005945126793645006,125.70290027931333,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QGROW22,0.001424159,1.4396055429999999,1.4410297019999998,maximum iterations reached,430.8681779133557,0.0031959859794684353,-31367.275600146502,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QGROW7,0.000564573,0.453530413,0.45409498600000003,maximum iterations reached,196.10546289566247,0.0015282233027945624,15069.28265842516,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
